,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record
Austin City Council District 2,Alex Strenger,Casey Ramos,David Chincanchan,Vanessa Fuentes,overvote,undervote,All
President/Vice President,,,,,,,
DEM Joseph R. Biden,520.0,3709.0,4122.0,12574.0,11.0,3500.0,24436
GRE Howie Hawkins,11.0,33.0,17.0,65.0,,22.0,148
LIB Jo Jorgensen,34.0,101.0,61.0,130.0,,119.0,445
REP Donald J. Trump,682.0,1124.0,637.0,1000.0,1.0,1835.0,5279
overvote,1.0,2.0,1.0,6.0,,,10
undervote,3.0,15.0,11.0,18.0,,39.0,86
All,1251.0,4984.0,4849.0,13793.0,12.0,5515.0,30404
