,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record
Austin City Council District 6,Dee Harrison,"James ""Jimmy"" Flannigan",Jennifer Mushtaler,Mackenzie Kelly,overvote,undervote,All
President/Vice President,,,,,,,
DEM Joseph R. Biden,857.0,5707.0,2441.0,2865.0,10.0,2553.0,14433
GRE Howie Hawkins,7.0,17.0,11.0,13.0,,8.0,56
LIB Jo Jorgensen,22.0,54.0,81.0,143.0,,68.0,368
REP Donald J. Trump,203.0,944.0,933.0,3232.0,3.0,1641.0,6956
overvote,,2.0,,1.0,,1.0,4
undervote,3.0,8.0,16.0,38.0,,13.0,78
All,1092.0,6732.0,3482.0,6292.0,13.0,4284.0,21895
